Classes,Definition,Questions
NUMERIC,date,On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?
NUMERIC,perc,What are the highest-paying odds on a roulette table ?
NUMERIC,date,In what year did the US Marine Corps adopt the motto `` Semper Fidelis '' ?
NUMERIC,count,How many films did Ingmar Bergman make ?
ENTITY,other entity,What does a deltiologist collect ?
DESCRIPTION,reason,What is Garry Kasparov famous for ?
ABBREVIATION,exp,What does the `` c '' stand for in the equation E=mc2 ?
HUMAN,ind,Who is the Greek God of the Sea ?
HUMAN,ind,What well-known music personality is the father of an adopted son named Hans Christian Henderson ?
DESCRIPTION,manner,How do you measure the heat of the sun ?
DESCRIPTION,reason,Why do some people have two different color eyes ?
ENTITY,body,Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?
NUMERIC,date,When was the first Barbie produced ?
ENTITY,substance,What 's the hardest substance in the human body ?
HUMAN,ind,Who was the first woman governor of Wyoming ?
NUMERIC,count,How many more weeks of winter are there if a ground hog sees his shadow ?
HUMAN,ind,What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?
DESCRIPTION,manner,How do birds find their way back to the same place every year ?
LOCATION,other loc,Where is the Henry Ford Museum ?
ENTITY,creative,Name a film that has won the Golden Bear in the Berlin Film Festival ?
ENTITY,term,What 's the International Lawn Tennis Challenge Trophy usually called ?
NUMERIC,date,What year did nylon stockings first go on sale ?
ENTITY,sport,What is a research expedition in mountain climbing ?
ENTITY,vehicle,On which flight did Fawaz Younis commit air piracy and hostage taking ?
LOCATION,city,What are the 10 largest cities in the US ?
DESCRIPTION,definition,What is a wart ?
DESCRIPTION,definition,What is spaceball played on ?
DESCRIPTION,manner,How does rabies spread ?
HUMAN,ind,What famous comedian recently tried without success to revive the play ?
LOCATION,other loc,What is Drew Barrymore 's email address ?
DESCRIPTION,manner,How can you tell if someone is lying ?
DESCRIPTION,description of st,What is the difference between a preface and a foreword ?
ENTITY,substance,What are fingernails made of ?
LOCATION,country,What nationality were the 123 people who died in the Black Hole of Calcutta ?
DESCRIPTION,definition,What does storm wave mean in Japanese ?
DESCRIPTION,reason,Why do they sterilize the needle for lethal injection ?
HUMAN,ind,What TV family sometimes buys eclairs from Nelson 's Bakery ?
DESCRIPTION,manner,How can you get rust stains out of clothing ?
DESCRIPTION,manner,How does a small businessman contact the Good Humor Ice Cream company to do business with them ?
HUMAN,ind,What enigmatic U.S. vice president was once tried and acquitted for treason in a plot to set up his own independent empire in the West ?
HUMAN,ind,Who was Charles Lindbergh 's wife ?
HUMAN,ind,Who sings Angel Eyes from the 80 's ?
NUMERIC,date,When did the Jurassic Period end ?
ENTITY,other entity,What is the one thing you need before you can purchase life insurance ?
DESCRIPTION,reason,What caused the Titanic to sink ?
DESCRIPTION,definition,What is the chemiosmotic theory ?
HUMAN,description human,What information can you tell me about actor James Cromwell ?
DESCRIPTION,manner,How does an ion drive work ?
DESCRIPTION,manner,How can I trace my family roots ?
NUMERIC,date,What was the date of Iraq 's invasion of Kuwait ?
ENTITY,word,What is another word for diet ?
DESCRIPTION,definition,What is a courier ?
ENTITY,creative,What Sinatra hit did he dooby dooby do in ?
DESCRIPTION,manner,How do you get a girl to have sex with you ?
ENTITY,other entity,What award is the `` Oscar '' of advertising ?
LOCATION,other loc,What is the name of the planet that the Ewoks live on ?
ENTITY,food,What ice creams contain seaweed ?
HUMAN,ind,What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?
ABBREVIATION,exp,What is a `` USB '' port on a computer ?
ENTITY,term,What term means a sexual attraction between a male and a female ?
HUMAN,group,What was called the world 's largest department store ?
LOCATION,other loc,What sea surrounds the Cayman Islands ?
NUMERIC,count,How many different vegetation zones are there ?
ABBREVIATION,exp,What does LOL mean ?
LOCATION,other loc,What ocean was Amelia Earhart flying over when she disappeared ?
ENTITY,creative,What book does Holden Caulfield appear in ?
DESCRIPTION,description of st,What happens when lightning strikes a body of water ?
HUMAN,ind,What was the nickname of German flying ace Manfred von Richthofen ?
DESCRIPTION,definition,What does e=mc2 mean ?
LOCATION,country,What country other than Germany invaded Poland in September 1939 ?
DESCRIPTION,manner,How do I contact answers.com ?
ENTITY,body,What are the names of the different toes ?
ENTITY,product,What are different products of petroleum ?
DESCRIPTION,reason,What causes asthma ?
NUMERIC,date,When was the Bill of Rights ratified ?
DESCRIPTION,definition,"What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?"
LOCATION,state,What is the largest U.S. state east of the Mississippi ?
DESCRIPTION,manner,How can I find out how much it costs to raise a baby for six months ?
NUMERIC,other num,"What 's the population of Biloxi , Mississippi ?"
ENTITY,letter,What vowel do all Esperanto nouns end in ?
DESCRIPTION,definition,What is a heuristic ?
LOCATION,other loc,What California desert is dubbed High Desert ?
ENTITY,animal,"In the Miller Lite TV commercial , who is the creature ?"
HUMAN,ind,Who wrote ` Hamlet ' ?
DESCRIPTION,manner,How did the jack-o '-lantern get it 's name ?
DESCRIPTION,reason,Why can 't ostriches fly ?
LOCATION,other loc,Where do the Blackhawks maintain their operations ?
DESCRIPTION,reason,Why are the rooftops in Canada green ?
LOCATION,country,What African country was founded by freed American slaves in 1847 ?
NUMERIC,date,What year did the first issue of `` Playboy '' come out ?
LOCATION,city,The Orange Bowl is located in what city ?
ENTITY,dismed,What is a fear of motion ?
HUMAN,ind,What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?
ENTITY,dismed,What is a fear of glass ?
DESCRIPTION,description of st,"In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?"
HUMAN,ind,What is the last name of Lucy and Linus from the Peanut 's comic strip ?
HUMAN,ind,What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 ?
NUMERIC,count,How many layers does a bottle of Yoo-Hoo settle into ?
HUMAN,group,Name Pittsburgh 's baseball team .
LOCATION,other loc,What 's the nearest star to Earth ?
LOCATION,other loc,Where is Inoco based ?
ENTITY,term,What does El Nino mean in spanish ?
DESCRIPTION,description of st,What does Choo Choo Charlie say ?
DESCRIPTION,manner,How do I register a trade name in North Carolina ?
NUMERIC,count,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?
NUMERIC,count,How many stations do you shoot from in the basketball game `` Around the World '' ?
DESCRIPTION,definition,What is a Jake brake ?
ENTITY,symbol,What sign is the best love match for a horoscope sign ?
HUMAN,ind,Who was the Russian ambassador to Hungary during the 1956 uprising ?
HUMAN,ind,Who holds the NFL record for most touchdowns in a season ?
ENTITY,other entity,What cards are bullets ?
NUMERIC,period,What is the average age a horse lives ?
LOCATION,other loc,"What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?"
ENTITY,lang,Which language has the most words ?
LOCATION,other loc,Where is Natick ?
ENTITY,creative,What J.R.R. Tolkien book features Gimli as a central character ?
ENTITY,product,What brand of white rum is still made in Cuba ?
HUMAN,description human,Who is Shirley MacLaine ?
HUMAN,group,What business exports the sparkling wine Spumante ?
ENTITY,dismed,What is a fear of water ?
DESCRIPTION,definition,What does the number 33 on the Rolling Rock beer bottle mean ?
DESCRIPTION,description of st,What is the origin of the city `` Corpus Christi '' ?
HUMAN,ind,Who wrote ` The Pines of Rome ' ?
LOCATION,other loc,Where is the Valley of the Kings ?
HUMAN,group,What was the first U.S.-based team in the NHL ?
LOCATION,other loc,Where did the sport of caber-tossing originate ?
HUMAN,ind,"Who played for the Chicago Bears , Houston Oilers and Oakland Raiders in a 26-year pro football career ?"
LOCATION,other loc,Where are the Union Stockyards ?
LOCATION,other loc,Where does the weird shape of the dinner fish knife originate from ?
NUMERIC,count,How many children does Ray Davies of the Kinks have ?
NUMERIC,count,How many years did Shea & Gould practice law in Los Angeles ?
ENTITY,other entity,What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?
NUMERIC,count,How much salt is in the oceans ?
HUMAN,ind,Who leads the star ship Enterprise in Star Trek ?
ENTITY,animal,What animals acted as lapwarmers for American colonists in church ?
HUMAN,ind,Who won World War II ?
DESCRIPTION,description of st,Where does `` bovine '' come from ?
LOCATION,other loc,Where does the U.S. get most of its energy ?
LOCATION,country,"What country , after Canada and Mexico , is closest to the U.S. ?"
ENTITY,body,What is the weakest bone in the body ?
DESCRIPTION,definition,What is dew point ?
HUMAN,ind,Who was Garrett Morgan married to ?
HUMAN,ind,What was the name of Darth Vader 's son ?
NUMERIC,count,How many stars are there in Big Dipper ?
DESCRIPTION,manner,How do you become a dentist ?
HUMAN,description human,Who is Ishmael in Moby Dick ?
NUMERIC,count,How many wings does a flea have ?
LOCATION,country,What country has been called The Queen of the Antilles ?
LOCATION,other loc,Where can I find a website that gives comparisons of good prices ?
NUMERIC,other num,What is the population of Mozambique ?
DESCRIPTION,definition,What is multimedia ?
LOCATION,state,What state has the most Indians ?
DESCRIPTION,description of st,What is the difference between terry cloth and French terry ?
NUMERIC,distance,How long is Camptown Racetrack ?
HUMAN,ind,Name the two blob members of the animated Herculoids .
LOCATION,other loc,Where did Luther display his `` Ninety-Five Theses '' ?
DESCRIPTION,definition,What are `` inkhorn terms '' ?
DESCRIPTION,description of st,What is the difference between pop music and rock and roll ?
LOCATION,other loc,What river is Pocahontas buried along ?
DESCRIPTION,definition,What does hazmat stand for ?
DESCRIPTION,definition,What is `` bloodhound '' ?
NUMERIC,count,"How many miles is it from London , England to Plymouth , England ?"
ENTITY,animal,What was Paul Bunyan 's ox 's name ?
ENTITY,other entity,What trophy is awarded to the winners of the Super Bowl ?
LOCATION,other loc,Where is Dartmouth College ?
HUMAN,ind,What well-known TV talk show host was a lay preacher by the time he was seventeen ?
DESCRIPTION,description of st,What are the environmental influences on plant genetics ?
HUMAN,ind,What one of the Backstreet Boys are single ?
NUMERIC,count,How many people was Randy Craft convicted of murdering ?
LOCATION,other loc,"What river flows through Vienna , Budapest and Belgrade ?"
HUMAN,ind,What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?
HUMAN,ind,Who was the conservationist who served as spokesperson for Post Grape Nuts ?
DESCRIPTION,definition,What is carpal tunnel syndrome ?
ABBREVIATION,exp,What does IOC stand for ?
LOCATION,other loc,Which area produces the least acidic coffee ?
DESCRIPTION,reason,Why is it called `` hamburger '' if there is no ham in it ?
ENTITY,symbol,What is the trademark of a Washington Redskin 's fan ?
DESCRIPTION,reason,Why does cotton get caught in belly buttons ?
HUMAN,ind,What suburban housewife and mother of three wrote The Feminine Mystique ?
DESCRIPTION,manner,How does a glacier form ?
NUMERIC,date,On which date is the Ukrainians ' Christmas ?
LOCATION,city,What is the largest city in the world ?
ENTITY,sport,What famed tennis tournament 's men 's singles title was Fred Perry the last Englishman to win ?
HUMAN,description human,Who was Whitcomb Judson ?
NUMERIC,weight,What is the average weight for a man ?
LOCATION,other loc,What are Britain 's two longest rivers ?
LOCATION,country,"What country covers 8 , 600 , 387 square miles ?"
ENTITY,substance,What fuel do airplanes use ?
